	NSGAII	SPEA2	CMAES
0	563.6333966128295	564.2210459815797	492.1371839046478
1	564.2527590527707	563.046233023415	531.8327393568907
2	564.2120421263971	564.0176686876204	376.4718809127808
3	564.2590395017287	564.2813799350305	365.0498571395874
4	564.3146944719374	563.9531689688156	460.1198506951332
5	564.199092729918	563.162468919119	351.4850926399231
6	564.0844262162245	564.1920979994647	350.7041916847229
7	564.2413683061502	518.1770798041252	428.1552438735962
8	564.2323138404736	564.1989761935649	533.5273505523801
9	564.0698721090066	561.9639030720573	521.5300522446632
10	564.0777848224861	564.2912393767256	286.839786529541
11	564.1661167475977	562.587157194037	557.2911471933294
12	564.2539326858818	564.1734726881532	553.2044823244214
13	564.1118758232042	564.28901583233	43.5310001373291
14	564.2746665781015	564.1836999360567	529.3398049473763
15	564.3007313550343	564.2980516561166	427.46324998140335
16	564.0118098278217	564.1260409057813	182.54391479492188
17	564.1452338450454	564.2908583149474	531.1521998681128
18	563.8809830116807	564.2153939004638	425.4468803405762
19	564.288737925385	564.1533567576116	540.0764298886061
20	564.2870045726777	564.2353318676905	424.87682342529297
21	564.2655515189349	564.1449799582333	553.8959905412048
22	562.317251339322	564.1445683510865	539.8956442773342
23	564.0323941824172	564.1591190011716	515.3783560395241
24	563.8432483648648	564.2014524616118	485.723449587822
25	564.1680733537542	561.505958322763	445.5607455968857
26	564.1275525458223	564.1232751887856	466.1315866708756
27	564.3236364134864	559.5255642803386	549.1634238772094
28	564.1033329537504	564.1429749923982	550.4462995491922
29	563.8660956552558	564.2482728266641	440.572979927063
