	NSGAII	SPEA2	CMAES
0	1668.3256876405403	1700.3374843574838	248.84317701179745
1	1632.9357191039664	1609.9297822212234	1438.479072335465
2	1699.5468945965151	1700.6515045259212	1251.5158335421322
3	1693.7222218583215	1697.7369496414915	1396.7571086497578
4	1570.9066852896103	1686.216663092581	326.98649705949737
5	1496.75373102546	1667.9824983274805	373.6612443610286
6	1698.7366857924517	1698.5726685396946	592.6734431127537
7	1610.802788032631	1700.6714088596482	176.93342886155435
8	1503.2274599407715	1700.550010483802	195.92661180594035
9	1553.8774827813247	1583.0131687532894	304.31899533277465
10	1474.6955765656087	1699.1886062833432	924.6833337350432
11	1699.7135867588495	1700.3280467162274	878.9849165143371
12	1699.4076845290924	1677.0191720561038	1458.442482855731
13	1344.5657523342234	1697.2626642591536	1233.6365750789134
14	1669.9630591176642	1665.2498604240914	408.6730555589705
15	1699.0140365461912	1426.6002784425164	461.9761307990416
16	1286.332037306765	1695.559980533316	1394.373841577155
17	1680.0113883576178	1692.4242959681865	967.1964949926064
18	1698.6729633319187	1679.135500864948	860.3543817836184
19	1696.420013639004	1698.3561982365488	1279.1941980951478
20	1560.5475438081037	1674.044666852492	1542.4901120266943
21	1690.9448352756224	1691.1144310219852	1547.29959946988
22	1694.4083500634174	1522.8568584485524	649.7562795079895
23	1699.1914353884372	1508.480317535899	753.7107846869758
24	1556.0101130737446	1686.2987050464542	796.8492805967371
25	1021.5761352762212	1700.0632977453315	964.7560155830066
26	1647.7264470877465	1690.1719695337783	519.2832262409638
27	1526.870684906789	1686.2529455403928	236.89775995297947
28	1695.9142302649457	1687.4526351937257	1218.593561813703
29	1680.155408460137	1663.4739891189656	440.4774936729384
