v1,v2,v3,v4,P1,P2
725.8463925596081,3254.651201854545,2380.4728969475896,4349.181414474844,52.68808386847377,510.882375152898
335.1334253850655,5917.64865625891,3930.820991710383,3359.9280216219113,88.9196328856051,33.42791137797758
250.75858379283477,6115.5361308921065,3524.73526608881,3399.363258603146,106.96443323418498,22.49536752491258
443.4111211485862,6056.273496220738,3601.5021734224138,3453.6852856258583,79.3786676414311,23.500748098362237
616.2329291708146,4316.05106565066,2807.504449930972,2394.275636141204,143.1037681028247,17.47211276984308
723.3642792544009,4304.746591364599,2658.9781940051644,2391.8520805440958,162.97681925166398,16.35077298246324
651.7633303808053,4240.304794779758,2632.464049811422,2353.00347859049,140.3485683472827,15.726355361985043
707.8364468098866,4125.720124595274,2607.0985418019204,2306.6989649496545,167.77724959142506,15.426706043537706
1379.7129812328644,1943.9683057376371,956.411754720812,702.0308056866621,826.4752519917674,5.398079313221388
1387.597434288553,1826.2041080544525,820.3291401871309,636.3033210018503,811.8056917786598,7.153505887981737
1387.0335525012495,1863.4513427592015,850.9804346905038,817.1467967644219,716.6908164764754,28.17053434139234
1466.6904130281644,1892.3172158732984,963.4604526210987,576.1389248558048,1043.2712399670854,6.781907545169815
1490.5924134920201,1823.125626242235,821.4201223969426,582.3155837544081,943.3118762532249,4.377164459467167
1514.9425305585414,1810.0960998410421,991.7431381031965,580.7918178069797,1146.8607922377996,7.072205411124742
1340.0389662536777,1985.677739688121,948.3390899713065,446.920647648344,1012.9354038387537,28.85723080803291
1509.107694576315,1874.3221546701116,940.4255358636032,628.8401501376068,1016.134347836487,4.287975028593792
1654.9220795591425,2107.481520406729,675.4073228127631,675.8063198302273,746.0833666715771,29.20576822545263
1605.7505820040128,1854.553520447701,788.7425786294135,639.9995898395855,953.6246957750991,11.284851757896831
1206.0727011553117,5702.440261361659,1884.800179692335,5950.14304926922,61.36442989297211,1824.325241472572
1282.8296468802196,5950.4473113983095,2324.580204571326,5726.69327968663,54.93485829047859,1209.1125380599406
1489.027396772928,5853.28817823177,2286.540250029171,6096.301471969254,61.350140484049916,1511.8824403840117
785.811677069297,3233.3893576581645,2261.635616942459,4258.493461956522,61.39915305469185,546.3147615008056
705.0803859507681,6572.505462611504,7067.633699573523,8521.282837756144,93.89944691956043,199.96121564740315
448.3915300889841,5815.862315722516,3764.1856723772,3411.5811992989306,85.58072409965098,23.99592420971021
494.2467168809285,5755.02427973126,3879.872033179197,3570.5718044472883,89.17724922858179,24.417163372039795
