v1,v2,P1
1.2417214731300596,0.9379173988067513,1.1143447514820082
1.2770882038285405,0.9986280751304211,1.109079728196889
1.2523603346506968,0.9398298819125197,1.1089720065732536
1.3950932979122546,1.0910429000752646,1.1109444378081434
1.197818714692229,0.9225749763860378,1.1126606253804994
1.2670798083929244,1.014548044248433,1.1114583841186914
1.3108870987409755,0.989564914227018,1.1104222756271156
1.4320550764452247,1.0943803223352975,1.1123429764338653
1.4741930553519418,1.129593073852603,1.1115331665588428
1.3989025983018855,1.1041960106539133,1.1123619559049303
1.49137614795526,1.123158358541813,1.1130925818854394
1.3007071282758806,0.993321286528756,1.1066663026426795
1.3035950522973465,0.9637719046383787,1.1119745236904919
1.3142009905024914,1.0261907546223914,1.1103560758956519
1.2113806624534489,0.93967410014124,1.1060837092494467
0.8317712987214394,0.6900914778791565,1.148874499289036
0.940565116071304,0.7893492780414471,1.1284303053935218
1.0821422828577496,0.8586847339706954,1.119099819586154
1.3531606340221969,1.0736469145618086,1.1097834975042815
1.415676419385377,1.1176636177200845,1.1112205938732131
1.4205285115535071,1.1253331603049035,1.1106907122688199
1.3320060407169654,1.0434012239783454,1.1056312150903977
1.0705406909379178,0.8991384133823146,1.112585391549942
1.0422685451849338,0.797317954686029,1.1228344771883485
1.139181756074807,0.9006270552555238,1.11335936223702
1.2337497724997044,1.0000999735219729,1.1103552186826846
1.492692385958832,1.1184553353772717,1.1115184634705884
1.3526066331892215,1.0227679147758149,1.107509309846364
1.11425173209222,0.8402481973181912,1.1180402279829877
1.284490147264691,1.0326084240123916,1.1133127936755045
