v1,v2,P1,P2
37.60305805766872,22.072150537924387,0.4973780164727941,0.025104031151386152
37.60305805766872,22.459533893509537,0.48469142575049773,0.03606989661966509
29.804157139808126,19.458786219666912,0.2790803211682942,0.16655674912180984
38.312940167283834,22.48015741733478,0.5192660758330021,0.024254232460407366
16.24620427310115,9.393496264151711,0.04650185053833411,0.21303756201450597
11.666971745682435,7.025092577464801,0.005278479552544013,0.3307637404050183
37.60305805766872,22.459533893509537,0.4825533496623393,0.036589377555173996
37.60305805766872,22.072150537924387,0.5015888585185166,0.024652862950460985
12.1834626056038,7.0667405650161985,0.015906677622069765,0.3108183851909416
22.937365177949584,15.095801422735553,0.13094558252487332,0.21134374957000546
