v1,v2,P1,P2
32.895971464138235,19.41947833181098,0.37749690320924856,0.04510700779974286
39.40707355324075,22.599772714516916,0.5737706039799377,0.012720286486910481
23.802791873523717,14.186671862735784,0.15282834677782375,0.11428270170472388
12.386746706144915,7.3369692071313235,0.009417196641152259,0.30595242147865065
58.41510586356435,33.82294796329168,1.1493259626440704,0.012656520714244834
32.38949549458688,17.97732309110308,0.43455758405616507,0.04030665848586068
25.00842760255316,14.659770516715088,0.1891921783098951,0.09576818494497275
26.545459151105078,15.243440687341973,0.2361609512445284,0.07943848202012305
16.74061488104409,9.19913101877147,0.09228388180054026,0.20397771014177124
26.545459151105078,15.243440687341973,0.24304586568905506,0.07699092910297622
36.15224414957502,21.20299319075269,0.4678828925534617,0.029457632923367782
