v1,v2,v3,v4,v5,v6,P1,P2
69.91352196700153,9284.392496860053,1553.740636194346,5402.827102091229,1195.8479471749383,7953.311651837535,51.738166723400354,1933.9642437398434
126.15040847688539,9242.40059181543,1690.7747420923226,5423.291984615931,1195.1399281532438,7979.900052449019,53.560586623847485,2012.0660426253453
8830.63844856446,9507.024935476617,595.0957760842482,6882.022902721514,4391.421790504283,4601.570300730569,107.78278972953558,1109.2741888874443
8770.235833796536,9629.921048123455,582.6969157274144,6832.080844383971,4294.330959767522,4601.991768369331,113.56946528330445,1101.338348268764
8735.605742534746,9481.0009917536,506.2247270471838,6955.264998154339,4499.2584768691,4657.705106515197,137.2565626502037,1065.7148074911674
8755.476735706075,9603.432835630832,522.6289141726973,6877.855345592272,4423.893889050695,4500.8461331729895,122.39826475642622,1000.7281161615392
3090.9145827297275,9576.89725333657,571.8596345202268,2175.5969107684555,8400.819829485798,8839.331860360491,167.34488073177636,197.33105879672803
3023.3476215979726,9597.419076672473,807.7119682381013,2035.485156300884,8256.474143366779,8901.934069408033,329.67756432201713,259.5721302921884
2917.0825698158324,9520.71594101852,710.0419009333751,2075.2645397512706,8225.963531440651,8715.05370599889,263.29809546191245,202.17400365299545
7079.7534959646455,8918.38612766123,1157.9680661514476,6530.841479967952,3930.3433340737715,2139.1983845668738,384.6414443627,155.73023299593478
7128.308958177978,8817.322754191975,1186.527247936826,6576.886935548824,3878.2239418815734,2057.7886149691726,406.8277649860829,150.81512172461953
7062.1853396157985,8885.999079712361,1188.9252946282786,6548.993364273615,3930.114867144833,2121.2926552558965,404.16664357855916,151.43331419071183
7147.115143951725,9012.63481619371,1081.7681734686878,6647.159091248795,3978.9134738635526,1953.6150257276074,411.7911248896271,102.36370757664554
6975.706137775417,9070.239562266781,1220.137263433575,6519.628748777681,3877.1251102302713,2167.9935904818694,402.61291629448533,153.43840229918715
6997.774536299432,8936.656897693805,1277.670683988873,6659.815504021573,3940.1821000257437,1986.6443263059302,491.466051466763,115.49954758852255
2071.909993758991,6746.889144181832,2147.4240345532503,7580.444415300009,1815.2370779152538,1390.2456182167773,536.5433538863435,9.214537348540034
2071.769439435568,6733.194576339165,2135.0264438930953,7612.792839441628,1838.4489847337936,1453.9649901032753,513.0356124415994,11.339651398942806
2095.948396825162,6723.601552217241,2135.0261755303763,7717.6683309667915,1797.058813541188,1399.063527400173,508.606621414423,10.433624240045901
2061.6596210620723,6700.614420451351,2115.5808079266003,7620.1227466567625,1850.2330856946692,1405.686829051645,532.251350350678,8.995022729039192
2010.2510695641595,6734.505414559127,2116.453914219636,7689.116448613965,1851.9896873886548,1296.6288780199357,583.3925506900996,8.112126087304205
2093.4812684514045,6677.535032398416,2154.2320998532236,7579.4998349904745,1838.0140934732015,1312.3742383657882,587.9478003559634,7.5674715075292625
2062.4826593690896,6714.787434814046,2143.555187256389,7564.436878226525,1850.1758196959413,1366.6487305031615,566.5825844183564,8.03126607806189
2096.224851269324,6688.80679230328,2145.6918422854246,7548.935555266875,1883.5504787235343,1354.1046543703146,585.8451634738594,7.9218014042126015
58.922128988714185,9262.730270140124,1739.2029896957317,5169.244712411323,1090.1053711286884,7958.020835937193,56.58900445327163,2284.7297221892513
8.859183877387686,9285.856582981472,1708.4948060393326,5344.764565235675,1103.1396036405868,7987.83950850499,53.78217085823417,2262.3403664678335
85.90617738432552,9283.885962995588,1671.3455579388713,5310.668453184061,1116.719018297703,7951.591311776067,51.935506261885166,2189.9773728335276
38.71309214125268,9244.884600032916,1642.977628241421,5260.285079658571,1224.8617900975294,7895.657667018617,53.92170182429254,1878.1528623006307
38.183109317087116,9270.88912775912,1736.0367363264584,5311.572630774627,1180.297244399946,7863.9015230339,58.0919533688575,1989.1942927544005
8676.10725784947,9561.54720784505,555.7808613458416,6946.976751074418,4370.119456779373,4645.973302187293,122.4706947337836,1083.3907138756476
8817.226993690001,9561.00769980971,466.2113332799077,6819.333951837693,4376.959844114451,4523.8809522202155,148.14283811300993,1040.1828101543942
