Filename,Epsilon,IGD,HV
data/DPM_R1R4_evTrans11_100000/ParetoFrontSet/ParetoFrontSetNSGAII-1.csv,158841.40625,163488.19151965735,0.0
data/DPM_R1R4_evTrans11_100000/ParetoFrontSet/ParetoFrontSetNSGAII-2.csv,0.0,0.0,6147380828.808594
data/DPM_R1R4_evTrans11_100000/ParetoFrontSet/ParetoFrontSet-All.csv,0.0,0.0,6147380828.808594
